num_classes,subset_pct,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,auroc_macro_mean,auroc_macro_std,auroc_macro_min,auroc_macro_max,auprc_macro_mean,auprc_macro_std,auprc_macro_min,auprc_macro_max,mcc_mean,mcc_std,mcc_min,mcc_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,num_samples_first,samples_per_class_first
4,30,0.97845,0.020612243529837655,0.9385,0.99625,0.97845,0.02061224352983764,0.9385,0.99625,0.9784744718620029,0.020576668030033496,0.9388037618293129,0.9962501178166349,0.9982277583333334,0.0025074259021272325,0.9930199166666667,0.9999211666666667,0.995163555040055,0.006775268343241972,0.981172417456575,0.9997688170527805,0.9713027247158895,0.02745972336552695,0.9180622008212298,0.995001243752332,0.9786062745356956,0.02047186003165149,0.9392958672699535,0.996253967577064,0.97845,0.02061224352983764,0.9385,0.99625,7200,1800
4,40,0.97895,0.019727307638567084,0.939,0.99525,0.97895,0.019727307638567063,0.9390000000000001,0.99525,0.9789611793297993,0.019711430112572217,0.9392359424535063,0.9952497368688964,0.9983264466666667,0.0023995548081413563,0.9933388333333334,0.9999276666666667,0.9954617687568887,0.006466767029566261,0.9818123574301849,0.9997861209620218,0.9719620505213973,0.026284608951514042,0.9187335835329787,0.9936682399759588,0.9790583816727002,0.01964002761821568,0.9396782421657108,0.9952541997551623,0.97895,0.019727307638567063,0.9390000000000001,0.99525,9600,2400
4,50,0.98001,0.019560467146773373,0.9415,0.99575,0.98001,0.01956046714677337,0.9415,0.99575,0.9800076319646877,0.019578104978817037,0.9413922027416461,0.9957512311551713,0.9984927583333334,0.0022150447854987305,0.9939779166666667,0.9999465833333333,0.9958510170984173,0.005979835327353128,0.9837112457143246,0.999843375721842,0.9734062136317405,0.026018713601246947,0.922009066467064,0.9943426967711476,0.9801808394237687,0.019415583046672364,0.9413115119687535,0.9957780133607499,0.98001,0.01956046714677337,0.9415,0.99575,12000,3000
4,60,0.9810800000000001,0.01900927953220041,0.93625,0.99575,0.9810800000000001,0.0190092795322004,0.93625,0.9957499999999999,0.9810882765867688,0.018993390107197205,0.936306757526928,0.9957502457502457,0.99857304,0.002192231220046603,0.9930339166666666,0.9999378333333333,0.9961051079539105,0.005946801972356722,0.9810426354714854,0.9998163617720203,0.9747923253515401,0.025326838051846833,0.9151018107399822,0.9943339962228852,0.9811534202138178,0.018921263882173422,0.9366632087825215,0.995752483009932,0.9810800000000001,0.0190092795322004,0.93625,0.9957499999999999,14400,3600
4,70,0.98218,0.018172856361434585,0.944,0.99675,0.98218,0.01817285636143458,0.9440000000000001,0.99675,0.9821995356872592,0.018132874407443652,0.9442456679041763,0.9967499583118561,0.9986826883333333,0.0020462583658084972,0.9940226666666667,0.9999509583333333,0.9963855784960003,0.00556100943943874,0.9836569064538407,0.9998581456439168,0.9762605632016553,0.02421535383835539,0.9253803746980456,0.9956727236941593,0.9822800687341483,0.01804840846039261,0.9446320075605277,0.9967680842840143,0.98218,0.01817285636143458,0.9440000000000001,0.99675,16800,4200
4,80,0.98265,0.017734735220276986,0.946,0.99575,0.98265,0.01773473522027699,0.946,0.99575,0.9826465540640228,0.017746329519192486,0.9458644428406541,0.9957519551822726,0.9987917266666666,0.0018597563258251864,0.9951305833333333,0.9999750833333334,0.9966913536565155,0.005027027160668661,0.9867874374585893,0.9999267050050802,0.9769075696049739,0.02357873641741333,0.9286226180345789,0.9943383878996522,0.9827633280020174,0.017561316523345454,0.9475360607499896,0.9957690046258614,0.98265,0.01773473522027699,0.946,0.99575,19200,4800
4,90,0.9828600000000001,0.017564328196660397,0.94575,0.996,0.9828600000000001,0.01756432819666039,0.94575,0.996,0.9828696843082579,0.017548367555458938,0.9457338213559223,0.9960003697527098,0.9988191216666666,0.0018616545912488697,0.9948782083333333,0.9999539166666668,0.9967873525183493,0.004989457276037263,0.9860605631379314,0.9998675428026311,0.9771682597561738,0.023407558538013875,0.9277361721718899,0.9946718887077902,0.9829442362085521,0.017497660677355063,0.9459303822635327,0.9960158100875838,0.9828600000000001,0.01756432819666039,0.94575,0.996,21600,5400
4,100,0.98373,0.016308535597451206,0.95025,0.99625,0.98373,0.0163085355974512,0.95025,0.9962500000000001,0.9837322993194278,0.016305660886827212,0.9502207069165767,0.996249993437476,0.9989092183333333,0.0017032438329372167,0.9952509583333333,0.9999575833333333,0.9970534207863906,0.004506817578380563,0.9874036845957903,0.9998747270001003,0.9783328465467193,0.021714178371529277,0.933745493676055,0.9950014095863288,0.9838126002861618,0.016211845840112333,0.9504234765258182,0.9962542238138647,0.98373,0.0163085355974512,0.95025,0.9962500000000001,24000,6000
5,10,0.947848,0.03776754691530813,0.8684,0.9788,0.947848,0.037767546915308106,0.8684000000000001,0.9788,0.9476371141560443,0.03827818816992986,0.8648043025816227,0.9788204848480442,0.994378651,0.007040357229645027,0.97913705,0.9992242250000001,0.9814345465159452,0.022582795008581538,0.9354425204531577,0.9969211444110883,0.934975580013404,0.04702816300598926,0.8370498935004225,0.9735355346955364,0.9480881616928905,0.03804385115431427,0.8677370404352089,0.9789842433342866,0.947848,0.037767546915308106,0.8684000000000001,0.9788,3000,600
5,20,0.954944,0.031763685764302184,0.8912,0.9802,0.954944,0.031763685764302156,0.8911999999999999,0.9802,0.9547285508867358,0.032263928435969445,0.8890520727555933,0.9802409152676568,0.995791141,0.005244348261426671,0.9852917500000002,0.9993334749999999,0.9855819448771228,0.01752343128558369,0.9504014690423735,0.9975458302532803,0.9438682678269444,0.03941663772780997,0.8648091480499702,0.9752697494123903,0.9552616884681254,0.03162206808152725,0.8901004012068239,0.9803612828052236,0.954944,0.031763685764302156,0.8911999999999999,0.9802,6000,1200
