seed,num_classes,combo_idx,class_list,subset_pct,num_samples,samples_per_class,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,2,4,"[7, 9]",80,9600,4800,14,5.38,0.976,0.976,0.976,0.976,0.976,0.976,0.9973,0.9974,0.952,0.952,0.0662
14994796,2,4,"[7, 9]",90,10800,5400,14,6.04,0.972,0.972,0.972,0.972,0.972,0.972,0.9973,0.9973,0.944,0.944,0.0684
14994796,2,4,"[7, 9]",100,12000,6000,15,7.14,0.976,0.976,0.976,0.976,0.976,0.976,0.997,0.9971,0.952,0.952,0.0707
14994796,3,0,"[0, 2, 9]",10,1800,600,13,0.91,0.973,0.973,0.973,0.973,0.9732,0.973,0.9971,0.9943,0.9596,0.9595,0.0775
14994796,3,0,"[0, 2, 9]",20,3600,1200,12,1.67,0.9727,0.9727,0.9726,0.9726,0.9727,0.9727,0.9973,0.9947,0.9591,0.959,0.0754
14994796,3,0,"[0, 2, 9]",30,5400,1800,19,3.96,0.9773,0.9773,0.9773,0.9773,0.9773,0.9773,0.9981,0.9963,0.966,0.966,0.0716
14994796,3,0,"[0, 2, 9]",40,7200,2400,27,7.65,0.98,0.98,0.98,0.98,0.98,0.98,0.9982,0.9964,0.97,0.97,0.0989
14994796,3,0,"[0, 2, 9]",50,9000,3000,16,5.66,0.9787,0.9787,0.9787,0.9787,0.9787,0.9787,0.9983,0.9966,0.968,0.968,0.0641
14994796,3,0,"[0, 2, 9]",60,10800,3600,12,5.13,0.981,0.981,0.981,0.981,0.981,0.981,0.9984,0.9968,0.9715,0.9715,0.0605
14994796,3,0,"[0, 2, 9]",70,12600,4200,14,7.02,0.9823,0.9823,0.9823,0.9823,0.9823,0.9823,0.9986,0.9972,0.9735,0.9735,0.0545
14994796,3,0,"[0, 2, 9]",80,14400,4800,15,8.46,0.9817,0.9817,0.9817,0.9817,0.9817,0.9817,0.9989,0.9977,0.9725,0.9725,0.0539
14994796,3,0,"[0, 2, 9]",90,16200,5400,14,8.86,0.9813,0.9813,0.9813,0.9813,0.9814,0.9813,0.9986,0.9973,0.972,0.972,0.0524
14994796,3,0,"[0, 2, 9]",100,18000,6000,15,10.77,0.9773,0.9773,0.9773,0.9773,0.9774,0.9773,0.9986,0.997,0.966,0.966,0.0561
14994796,3,1,"[0, 6, 8]",10,1800,600,20,1.46,0.8917,0.8917,0.8911,0.8911,0.8942,0.8917,0.9747,0.9522,0.8393,0.8375,0.2964
14994796,3,1,"[0, 6, 8]",20,3600,1200,16,2.31,0.8953,0.8953,0.8949,0.8949,0.8946,0.8953,0.9781,0.9594,0.8431,0.843,0.2585
14994796,3,1,"[0, 6, 8]",30,5400,1800,14,3.05,0.8963,0.8963,0.8959,0.8959,0.896,0.8963,0.9787,0.9599,0.8447,0.8445,0.2464
14994796,3,1,"[0, 6, 8]",40,7200,2400,22,6.39,0.9113,0.9113,0.9115,0.9115,0.912,0.9113,0.9824,0.9671,0.8672,0.867,0.2583
14994796,3,1,"[0, 6, 8]",50,9000,3000,14,5.1,0.904,0.904,0.9039,0.9039,0.9039,0.904,0.9811,0.9645,0.856,0.856,0.2186
14994796,3,1,"[0, 6, 8]",60,10800,3600,15,6.56,0.909,0.909,0.9087,0.9087,0.9086,0.909,0.9842,0.9703,0.8636,0.8635,0.2084
14994796,3,1,"[0, 6, 8]",70,12600,4200,16,8.22,0.912,0.912,0.9115,0.9115,0.9126,0.912,0.9841,0.9704,0.8688,0.868,0.2122
14994796,3,1,"[0, 6, 8]",80,14400,4800,18,10.45,0.92,0.92,0.9199,0.9199,0.9212,0.92,0.9866,0.9747,0.8807,0.88,0.207
14994796,3,1,"[0, 6, 8]",90,16200,5400,17,11.52,0.9223,0.9223,0.9224,0.9224,0.9224,0.9223,0.9865,0.9746,0.8835,0.8835,0.2048
14994796,3,1,"[0, 6, 8]",100,18000,6000,16,11.45,0.9127,0.9127,0.912,0.912,0.9169,0.9127,0.9858,0.9734,0.8717,0.869,0.2107
14994796,3,2,"[1, 4, 7]",10,1800,600,16,1.18,0.996,0.996,0.996,0.996,0.996,0.996,1.0,0.9999,0.994,0.994,0.0107
14994796,3,2,"[1, 4, 7]",20,3600,1200,13,1.91,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9999,0.9999,0.996,0.996,0.0134
14994796,3,2,"[1, 4, 7]",30,5400,1800,14,3.05,0.9977,0.9977,0.9977,0.9977,0.9977,0.9977,1.0,0.9999,0.9965,0.9965,0.0089
14994796,3,2,"[1, 4, 7]",40,7200,2400,14,4.05,0.997,0.997,0.997,0.997,0.997,0.997,1.0,0.9999,0.9955,0.9955,0.0085
14994796,3,2,"[1, 4, 7]",50,9000,3000,13,4.77,0.997,0.997,0.997,0.997,0.997,0.997,0.9999,0.9999,0.9955,0.9955,0.0105
14994796,3,2,"[1, 4, 7]",60,10800,3600,28,12.47,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,1.0,1.0,0.9935,0.9935,0.0168
14994796,3,2,"[1, 4, 7]",70,12600,4200,22,11.64,0.9983,0.9983,0.9983,0.9983,0.9983,0.9983,1.0,0.9999,0.9975,0.9975,0.011
14994796,3,2,"[1, 4, 7]",80,14400,4800,25,15.36,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,1.0,1.0,0.9935,0.9935,0.0103
14994796,3,2,"[1, 4, 7]",90,16200,5400,23,15.48,0.9983,0.9983,0.9983,0.9983,0.9983,0.9983,1.0,1.0,0.9975,0.9975,0.0054
14994796,3,2,"[1, 4, 7]",100,18000,6000,29,22.19,0.9983,0.9983,0.9983,0.9983,0.9983,0.9983,1.0,1.0,0.9975,0.9975,0.0044
14994796,3,3,"[1, 5, 9]",10,1800,600,24,1.94,0.9857,0.9857,0.9856,0.9856,0.986,0.9857,0.9995,0.999,0.9787,0.9785,0.0658
14994796,3,3,"[1, 5, 9]",20,3600,1200,21,3.24,0.994,0.994,0.994,0.994,0.994,0.994,0.9994,0.9983,0.991,0.991,0.0378
14994796,3,3,"[1, 5, 9]",30,5400,1800,18,4.13,0.995,0.995,0.995,0.995,0.995,0.995,0.9998,0.9995,0.9925,0.9925,0.025
14994796,3,3,"[1, 5, 9]",40,7200,2400,23,7.18,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.9999,0.9998,0.993,0.993,0.0238
14994796,3,3,"[1, 5, 9]",50,9000,3000,29,11.32,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9997,0.9995,0.9935,0.9935,0.0296
14994796,3,3,"[1, 5, 9]",60,10800,3600,14,6.51,0.9947,0.9947,0.9947,0.9947,0.9947,0.9947,0.9999,0.9998,0.992,0.992,0.0209
14994796,3,3,"[1, 5, 9]",70,12600,4200,13,7.09,0.9947,0.9947,0.9947,0.9947,0.9947,0.9947,0.9997,0.9995,0.992,0.992,0.0192
14994796,3,3,"[1, 5, 9]",80,14400,4800,43,26.84,0.9943,0.9943,0.9943,0.9943,0.9943,0.9943,0.9998,0.9997,0.9915,0.9915,0.0254
14994796,3,3,"[1, 5, 9]",90,16200,5400,22,15.64,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9999,0.9997,0.9935,0.9935,0.0204
14994796,3,3,"[1, 5, 9]",100,18000,6000,14,11.04,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9999,0.9998,0.9935,0.9935,0.0154
14994796,3,4,"[3, 7, 8]",10,1800,600,44,3.58,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9997,0.9994,0.9875,0.9875,0.0389
14994796,3,4,"[3, 7, 8]",20,3600,1200,20,3.17,0.993,0.993,0.993,0.993,0.993,0.993,0.9997,0.9994,0.9895,0.9895,0.0345
14994796,3,4,"[3, 7, 8]",30,5400,1800,35,8.28,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9999,0.9997,0.9945,0.9945,0.0191
14994796,3,4,"[3, 7, 8]",40,7200,2400,25,7.88,0.996,0.996,0.996,0.996,0.996,0.996,0.9998,0.9997,0.994,0.994,0.0218
14994796,3,4,"[3, 7, 8]",50,9000,3000,15,5.85,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.9998,0.9996,0.993,0.993,0.0175
14994796,3,4,"[3, 7, 8]",60,10800,3600,25,11.72,0.997,0.997,0.997,0.997,0.997,0.997,0.9999,0.9998,0.9955,0.9955,0.0133
14994796,3,4,"[3, 7, 8]",70,12600,4200,28,17.28,0.9967,0.9967,0.9967,0.9967,0.9967,0.9967,0.9999,0.9998,0.995,0.995,0.0152
14994796,3,4,"[3, 7, 8]",80,14400,4800,13,9.46,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.9997,0.9994,0.993,0.993,0.0169
14994796,3,4,"[3, 7, 8]",90,16200,5400,28,22.3,0.997,0.997,0.997,0.997,0.997,0.997,0.9999,0.9999,0.9955,0.9955,0.0128
14994796,3,4,"[3, 7, 8]",100,18000,6000,30,25.66,0.996,0.996,0.996,0.996,0.996,0.996,0.9999,0.9999,0.994,0.994,0.0111
14994796,4,0,"[0, 1, 2, 4]",10,2400,600,15,1.69,0.9133,0.9133,0.9132,0.9132,0.917,0.9133,0.988,0.9671,0.8856,0.8843,0.2474
14994796,4,0,"[0, 1, 2, 4]",20,4800,1200,16,3.69,0.9315,0.9315,0.9317,0.9317,0.932,0.9315,0.9908,0.9747,0.9087,0.9087,0.1925
14994796,4,0,"[0, 1, 2, 4]",30,7200,1800,26,8.73,0.9403,0.9403,0.9403,0.9403,0.9405,0.9403,0.9936,0.9825,0.9204,0.9203,0.2247
14994796,4,0,"[0, 1, 2, 4]",40,9600,2400,16,7.11,0.944,0.944,0.9441,0.9441,0.9445,0.944,0.9936,0.9827,0.9254,0.9253,0.1635
14994796,4,0,"[0, 1, 2, 4]",50,12000,3000,17,9.15,0.9427,0.9427,0.9429,0.9429,0.9434,0.9427,0.9946,0.9854,0.9238,0.9237,0.1577
14994796,4,0,"[0, 1, 2, 4]",60,14400,3600,17,11.39,0.9485,0.9485,0.9484,0.9484,0.9485,0.9485,0.9948,0.9858,0.9314,0.9313,0.1406
14994796,4,0,"[0, 1, 2, 4]",70,16800,4200,13,9.8,0.946,0.946,0.9461,0.9461,0.9464,0.946,0.994,0.9837,0.9281,0.928,0.1508
