seed,noise_rate,noisy_pct,clean_samples,noisy_samples,num_corrupted,total_samples,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
20194682,0.05,40,30000,24000,1232,54000,14,31.72,0.9089,0.9089,0.9094,0.9094,0.9102,0.9089,0.9938,0.9596,0.8988,0.8988,0.2604
20194682,0.05,45,30000,27000,1370,57000,18,42.37,0.9194,0.9194,0.9185,0.9185,0.9191,0.9194,0.9946,0.965,0.9106,0.9104,0.2436
20194682,0.05,50,30000,30000,1518,60000,13,32.1,0.9053,0.9053,0.9051,0.9051,0.9065,0.9053,0.9936,0.9579,0.895,0.8948,0.2723
20194682,0.1,0,30000,0,0,30000,15,18.56,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.1,5,30000,3000,305,33000,18,24.55,0.9132,0.9132,0.9124,0.9124,0.9133,0.9132,0.9938,0.9595,0.9038,0.9036,0.2581
20194682,0.1,10,30000,6000,606,36000,16,23.89,0.9077,0.9077,0.908,0.908,0.9087,0.9077,0.9937,0.9594,0.8975,0.8974,0.2644
20194682,0.1,15,30000,9000,906,39000,17,27.37,0.9097,0.9097,0.9096,0.9096,0.9118,0.9097,0.9939,0.9616,0.8999,0.8997,0.2594
20194682,0.1,20,30000,12000,1207,42000,17,29.48,0.9068,0.9068,0.906,0.906,0.9081,0.9068,0.9932,0.9592,0.8967,0.8964,0.285
20194682,0.1,25,30000,15000,1501,45000,15,28.23,0.9012,0.9012,0.9001,0.9001,0.9014,0.9012,0.9931,0.9545,0.8905,0.8902,0.3045
20194682,0.1,30,30000,18000,1796,48000,19,38.2,0.912,0.912,0.9113,0.9113,0.9118,0.912,0.9937,0.9595,0.9024,0.9022,0.2744
20194682,0.1,35,30000,21000,2105,51000,17,36.54,0.9102,0.9102,0.91,0.91,0.9113,0.9102,0.9936,0.9598,0.9004,0.9002,0.2878
20194682,0.1,40,30000,24000,2420,54000,15,33.77,0.9123,0.9123,0.9123,0.9123,0.9132,0.9123,0.9935,0.9602,0.9027,0.9026,0.284
20194682,0.1,45,30000,27000,2709,57000,17,40.55,0.911,0.911,0.9109,0.9109,0.9111,0.911,0.9939,0.9616,0.9012,0.9011,0.2857
20194682,0.1,50,30000,30000,3007,60000,15,37.06,0.9108,0.9108,0.9097,0.9097,0.9113,0.9108,0.9938,0.9617,0.9012,0.9009,0.2819
20194682,0.15,0,30000,0,0,30000,15,18.71,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.15,5,30000,3000,446,33000,18,25.06,0.9086,0.9086,0.908,0.908,0.9078,0.9086,0.9937,0.9602,0.8985,0.8984,0.2605
20194682,0.15,10,30000,6000,907,36000,16,24.23,0.9059,0.9059,0.9052,0.9052,0.9075,0.9059,0.9935,0.9585,0.8958,0.8954,0.2822
20194682,0.15,15,30000,9000,1362,39000,16,25.83,0.9015,0.9015,0.9028,0.9028,0.9066,0.9015,0.9932,0.9566,0.8909,0.8906,0.2986
20194682,0.15,20,30000,12000,1824,42000,17,29.78,0.906,0.906,0.9063,0.9063,0.9085,0.906,0.9931,0.958,0.8958,0.8956,0.2906
20194682,0.15,25,30000,15000,2263,45000,14,25.89,0.9039,0.9039,0.9039,0.9039,0.9043,0.9039,0.9932,0.9553,0.8933,0.8932,0.3046
20194682,0.15,30,30000,18000,2696,48000,15,30.09,0.9073,0.9073,0.9061,0.9061,0.908,0.9073,0.9932,0.9587,0.8974,0.897,0.2884
20194682,0.15,35,30000,21000,3170,51000,16,34.02,0.9126,0.9126,0.9124,0.9124,0.9128,0.9126,0.9935,0.9599,0.903,0.9029,0.2939
20194682,0.15,40,30000,24000,3643,54000,14,31.48,0.9113,0.9113,0.9103,0.9103,0.911,0.9113,0.9933,0.9584,0.9016,0.9014,0.2939
20194682,0.15,45,30000,27000,4078,57000,16,38.03,0.9085,0.9085,0.9086,0.9086,0.9089,0.9085,0.9933,0.9586,0.8984,0.8983,0.3082
20194682,0.15,50,30000,30000,4525,60000,15,37.63,0.911,0.911,0.9105,0.9105,0.9104,0.911,0.9935,0.9586,0.9012,0.9011,0.3058
20194682,0.2,0,30000,0,0,30000,15,18.68,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.2,5,30000,3000,589,33000,17,23.43,0.9074,0.9074,0.9071,0.9071,0.9079,0.9074,0.9932,0.957,0.8972,0.8971,0.2719
20194682,0.2,10,30000,6000,1229,36000,17,25.25,0.9052,0.9052,0.9044,0.9044,0.9053,0.9052,0.9926,0.9542,0.8949,0.8947,0.2968
20194682,0.2,15,30000,9000,1835,39000,17,27.49,0.9101,0.9101,0.9092,0.9092,0.9097,0.9101,0.9936,0.9588,0.9003,0.9001,0.2808
20194682,0.2,20,30000,12000,2437,42000,18,31.29,0.9114,0.9114,0.9111,0.9111,0.9116,0.9114,0.9931,0.9581,0.9016,0.9016,0.308
20194682,0.2,25,30000,15000,3033,45000,16,29.85,0.9022,0.9022,0.8992,0.8992,0.9042,0.9022,0.9927,0.9541,0.8922,0.8913,0.327
20194682,0.2,30,30000,18000,3608,48000,16,31.69,0.9067,0.9067,0.9059,0.9059,0.9068,0.9067,0.9933,0.9565,0.8965,0.8963,0.3265
20194682,0.2,35,30000,21000,4216,51000,15,31.43,0.9077,0.9077,0.9067,0.9067,0.9068,0.9077,0.9926,0.9561,0.8976,0.8974,0.3318
20194682,0.2,40,30000,24000,4841,54000,16,34.74,0.9062,0.9062,0.9042,0.9042,0.9061,0.9062,0.9935,0.9556,0.8962,0.8958,0.353
20194682,0.2,45,30000,27000,5424,57000,16,37.14,0.9058,0.9058,0.9053,0.9053,0.9068,0.9058,0.9931,0.957,0.8956,0.8953,0.3355
20194682,0.2,50,30000,30000,6024,60000,17,42.69,0.9108,0.9108,0.911,0.911,0.9122,0.9108,0.9925,0.9582,0.901,0.9009,0.3707
20194682,0.25,0,30000,0,0,30000,15,18.6,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.25,5,30000,3000,765,33000,15,20.84,0.9029,0.9029,0.9021,0.9021,0.9025,0.9029,0.9932,0.955,0.8923,0.8921,0.2779
20194682,0.25,10,30000,6000,1541,36000,16,24.81,0.9019,0.9019,0.9003,0.9003,0.9025,0.9019,0.9926,0.9554,0.8914,0.891,0.3034
20194682,0.25,15,30000,9000,2288,39000,17,29.94,0.9113,0.9113,0.9118,0.9118,0.913,0.9113,0.9932,0.9578,0.9015,0.9014,0.3071
20194682,0.25,20,30000,12000,3046,42000,17,31.79,0.9096,0.9096,0.909,0.909,0.9093,0.9096,0.9929,0.9559,0.8997,0.8996,0.3191
20194682,0.25,25,30000,15000,3797,45000,16,31.42,0.9024,0.9024,0.9019,0.9019,0.9031,0.9024,0.9927,0.9548,0.8918,0.8916,0.3805
20194682,0.25,30,30000,18000,4528,48000,15,31.4,0.9068,0.9068,0.9069,0.9069,0.9072,0.9068,0.9928,0.9558,0.8965,0.8964,0.3292
20194682,0.25,35,30000,21000,5276,51000,15,33.14,0.9039,0.9039,0.9041,0.9041,0.9055,0.9039,0.9926,0.9531,0.8934,0.8932,0.3869
20194682,0.25,40,30000,24000,6070,54000,14,32.07,0.9035,0.9035,0.9036,0.9036,0.9041,0.9035,0.9934,0.9566,0.8928,0.8928,0.3815
20194682,0.25,45,30000,27000,6814,57000,15,36.28,0.9076,0.9076,0.9075,0.9075,0.908,0.9076,0.9928,0.9549,0.8974,0.8973,0.3721
20194682,0.25,50,30000,30000,7541,60000,17,43.37,0.9079,0.9079,0.9076,0.9076,0.9082,0.9079,0.9923,0.9549,0.8978,0.8977,0.3754
20194682,0.3,0,30000,0,0,30000,15,18.86,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.3,5,30000,3000,922,33000,16,22.52,0.9004,0.9004,0.9008,0.9008,0.9026,0.9004,0.9931,0.9544,0.8895,0.8893,0.2841
20194682,0.3,10,30000,6000,1840,36000,17,25.72,0.9079,0.9079,0.9074,0.9074,0.9083,0.9079,0.9931,0.9564,0.8978,0.8977,0.299
20194682,0.3,15,30000,9000,2737,39000,15,25.17,0.9057,0.9057,0.9034,0.9034,0.9057,0.9057,0.993,0.9551,0.8957,0.8952,0.3217
20194682,0.3,20,30000,12000,3655,42000,16,28.39,0.9056,0.9056,0.905,0.905,0.9069,0.9056,0.9928,0.9568,0.8954,0.8951,0.3365
20194682,0.3,25,30000,15000,4533,45000,14,26.6,0.901,0.901,0.9009,0.9009,0.9017,0.901,0.9925,0.953,0.8901,0.89,0.3677
20194682,0.3,30,30000,18000,5431,48000,14,27.73,0.8949,0.8949,0.8935,0.8935,0.8956,0.8949,0.9914,0.9498,0.8836,0.8832,0.4328
20194682,0.3,35,30000,21000,6313,51000,17,36.52,0.9088,0.9088,0.9087,0.9087,0.9092,0.9088,0.9929,0.9572,0.8987,0.8987,0.4132
20194682,0.3,40,30000,24000,7240,54000,16,36.56,0.9041,0.9041,0.9031,0.9031,0.9035,0.9041,0.9918,0.9532,0.8936,0.8934,0.3881
20194682,0.3,45,30000,27000,8137,57000,16,38.3,0.9068,0.9068,0.907,0.907,0.9076,0.9068,0.9932,0.9562,0.8965,0.8964,0.3854
20194682,0.3,50,30000,30000,9008,60000,14,34.81,0.8987,0.8987,0.9001,0.9001,0.9039,0.8987,0.9921,0.9533,0.8878,0.8874,0.4248
20194682,0.35,0,30000,0,0,30000,15,18.36,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.35,5,30000,3000,1063,33000,15,20.36,0.9005,0.9005,0.8987,0.8987,0.9005,0.9005,0.9926,0.9523,0.8899,0.8894,0.3115
